,bankroll_totals
1,1008.2614709734767
2,5328.243980221707
3,2261.3604606850777
4,573.5156027552675
5,550.9334073716942
6,479.505024674015
7,12843.824547893819
8,5106.625775780521
9,389.9943974776881
10,1716.488122801456
11,2523.0247395405086
12,1356.3695912363862
13,1538.7992821991738
14,2440.2276143534973
15,3141.752297956309
16,3122.9687363388007
17,3528.399259636923
18,302.9806177632761
19,837.7342745798973
20,3615.843252268838
21,451.172350075945
22,343.5745755116402
23,2381.408232540069
24,967.0954628797682
25,1533.6141645182984
26,841.8147359923585
27,3106.004022674344
28,285.2503936198267
29,1884.8304169977214
30,1385.0827523192575
31,2616.111081153364
32,1276.7883611638258
33,394.0293164798691
34,6430.938711649481
35,1005.8207359360642
36,2267.0656876465596
37,455.3164566802691
38,217.81443501797924
39,346.49054084028694
40,1238.982150198699
41,257.0445634584964
42,1196.799296560589
43,513.8014261159478
44,1317.1049261234632
45,3589.5049996903776
46,335.34835512823844
47,242.0671635606421
48,1467.4359599718794
49,7281.927014466429
50,188.85452704361788
51,4798.104472149858
52,2517.333315994032
53,3082.164896617248
54,1471.344696527958
55,1808.162659384155
56,5905.741277522604
57,600.4181824375021
58,62.36722228350372
59,4171.209410477006
60,3811.7767114855983
61,587.7395478021176
62,180.5501091793015
63,1026.4255268856386
64,458.90307400068565
65,1227.4960414237805
66,3146.247208633986
67,2975.4451876710264
68,136.19050320679858
69,869.5973794054997
70,691.8103354327322
71,632.5402720048652
72,439.71814787308097
73,1988.0893234252183
74,629.3393084611167
75,1935.2667812090115
76,4968.932956749661
77,91.51646027279114
78,464.6137527191608
79,647.3373874977932
80,4479.842057585307
81,1222.9053568869135
82,1418.3611688958658
83,1362.4438807217523
84,830.3379582651264
85,540.6847862317726
86,248.20001844693752
87,749.9458555211367
88,1060.0289521548589
89,1262.637263821708
90,2501.847847831076
91,7900.522876946005
92,153.8511873344452
93,1052.658166349539
94,1046.8699145860737
95,213.22073626365167
96,687.9870781342506
97,321.93124148202236
98,219.69569976259675
99,811.6950162823396
